                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62434,                 0.3891,                 1.0357,                0.99865,                      1,                  0.995,                0.87095,                0.56575,                0.31475,                0.95132,              0.0013268,              0.0013268,              0.0013268
                     36,                0.62333,                0.37733,                  1.019,                0.99886,                      1,                  0.995,                  0.824,                0.66356,                0.33196,                 1.0051,               0.001307,               0.001307,               0.001307
                     37,                0.61045,                  0.376,                 1.0268,                0.99777,                      1,                  0.995,                0.84641,                0.62494,                0.32577,                0.98706,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.6195,                0.38347,                 1.0378,                0.99877,                      1,                  0.995,                0.84292,                0.62993,                0.36341,                0.98041,              0.0012674,              0.0012674,              0.0012674
                     39,                0.62916,                0.38838,                 1.0292,                 0.9986,                      1,                  0.995,                0.85848,                0.56569,                0.42032,                0.96612,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.6055,                0.37759,                 1.0024,                0.99873,                      1,                  0.995,                0.86646,                0.59578,                0.38015,                0.96847,              0.0012278,              0.0012278,              0.0012278
                     41,                0.60648,                0.36415,                 1.0268,                0.99903,                      1,                  0.995,                0.88357,                0.53664,                0.34861,                0.93658,               0.001208,               0.001208,               0.001208
                     42,                0.62723,                0.36981,                 1.0268,                0.99894,                      1,                  0.995,                0.86302,                0.59851,                0.29822,                0.96814,              0.0011882,              0.0011882,              0.0011882
                     43,                0.61661,                0.37336,                 1.0292,                0.99176,                      1,                  0.995,                0.84878,                0.65036,                0.35394,                 1.0157,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.5881,                 0.3404,                 1.0007,                0.99868,                      1,                  0.995,                0.87245,                0.56124,                0.29258,                0.95119,              0.0011486,              0.0011486,              0.0011486
                     45,                0.56829,                0.35264,                0.99973,                0.99897,                      1,                  0.995,                0.86574,                0.58416,                0.28507,                0.95552,              0.0011288,              0.0011288,              0.0011288
                     46,                0.59308,                0.34776,                 1.0256,                0.99895,                      1,                  0.995,                0.87681,                0.55042,                0.29894,                 0.9404,               0.001109,               0.001109,               0.001109
                     47,                0.60588,                 0.3554,                 1.0366,                0.99883,                      1,                  0.995,                 0.8806,                0.56126,                0.30945,                0.94024,              0.0010892,              0.0010892,              0.0010892
                     48,                0.61602,                0.36594,                 1.0254,                0.90093,                0.83051,                0.90117,                0.66988,                 1.0056,                0.69758,                 1.3146,              0.0010694,              0.0010694,              0.0010694
                     49,                0.57632,                 0.3406,                 1.0223,                0.32207,                0.49153,                0.22769,                0.13398,                  2.176,                 1.8383,                 3.3114,              0.0010496,              0.0010496,              0.0010496
                     50,                0.57955,                0.34791,                 1.0218,                0.92016,                0.94915,                0.96324,                0.72625,                0.82218,                0.56422,                 1.1811,              0.0010298,              0.0010298,              0.0010298
                     51,                0.58013,                0.33629,                 1.0183,                0.99866,                      1,                  0.995,                0.85561,                0.62075,                0.28043,                0.98064,                0.00101,                0.00101,                0.00101
                     52,                0.59897,                0.34288,                 1.0319,                 0.9988,                      1,                  0.995,                0.85827,                0.56904,                0.29271,                0.95648,              0.0009902,              0.0009902,              0.0009902
                     53,                0.58542,                0.33632,                 1.0225,                  0.999,                      1,                  0.995,                0.87843,                0.54117,                0.27267,                0.93443,              0.0009704,              0.0009704,              0.0009704
                     54,                0.59658,                0.33987,                 1.0309,                0.99886,                      1,                  0.995,                0.86764,                0.55971,                0.28325,                 0.9437,              0.0009506,              0.0009506,              0.0009506
                     55,                0.57747,                0.34258,                 1.0073,                0.99793,                      1,                  0.995,                0.86326,                0.58825,                0.29418,                0.96517,              0.0009308,              0.0009308,              0.0009308
                     56,                0.57254,                0.32751,                 0.9953,                0.99721,                      1,                  0.995,                 0.8809,                0.58431,                0.31288,                0.97201,               0.000911,               0.000911,               0.000911
                     57,                0.56704,                0.33323,                 1.0092,                0.99835,                      1,                  0.995,                0.86497,                0.60295,                0.32637,                0.98027,              0.0008912,              0.0008912,              0.0008912
                     58,                0.57952,                0.33192,                  1.017,                0.99877,                      1,                  0.995,                 0.8489,                 0.6048,                0.31242,                0.96562,              0.0008714,              0.0008714,              0.0008714
                     59,                0.57697,                0.34308,                 1.0121,                0.99892,                      1,                  0.995,                0.86966,                0.58634,                0.29351,                0.95586,              0.0008516,              0.0008516,              0.0008516
                     60,                0.55425,                0.33771,                 1.0101,                0.99883,                      1,                  0.995,                0.86614,                0.56957,                 0.2712,                0.95263,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52646,                0.31221,                 0.9808,                0.99871,                      1,                  0.995,                 0.8643,                0.56763,                0.27816,                0.94493,               0.000812,               0.000812,               0.000812
                     62,                0.56868,                0.33186,                 1.0013,                0.99866,                      1,                  0.995,                0.88397,                0.57354,                0.27466,                0.94692,              0.0007922,              0.0007922,              0.0007922
                     63,                0.53396,                0.30869,                0.97993,                0.99894,                      1,                  0.995,                0.88322,                0.53616,                0.27377,                0.93304,              0.0007724,              0.0007724,              0.0007724
                     64,                0.56046,                0.32978,                  1.021,                0.99893,                      1,                  0.995,                 0.8971,                0.53833,                0.25008,                 0.9384,              0.0007526,              0.0007526,              0.0007526
                     65,                0.51489,                0.30894,                0.96548,                0.99903,                      1,                  0.995,                0.89144,                0.52552,                0.25452,                0.93516,              0.0007328,              0.0007328,              0.0007328
                     66,                0.52338,                0.31047,                0.98764,                0.99903,                      1,                  0.995,                0.89975,                0.54016,                0.26222,                0.94196,               0.000713,               0.000713,               0.000713
                     67,                0.55143,                0.32036,                0.99931,                  0.999,                      1,                  0.995,                0.88403,                0.54636,                0.25533,                0.93996,              0.0006932,              0.0006932,              0.0006932
                     68,                0.53333,                0.31463,                0.99781,                0.99899,                      1,                  0.995,                0.88027,                0.53998,                0.25554,                0.94059,              0.0006734,              0.0006734,              0.0006734
                     69,                0.52334,                0.30765,                0.99645,                0.99905,                      1,                  0.995,                0.88263,                0.55861,                0.25213,                0.94126,              0.0006536,              0.0006536,              0.0006536
                     70,                0.51508,                0.29442,                0.98288,                0.99902,                      1,                  0.995,                0.89728,                 0.5597,                0.24786,                 0.9391,              0.0006338,              0.0006338,              0.0006338
                     71,                0.53758,                0.29544,                0.99288,                0.99901,                      1,                  0.995,                0.90235,                0.56607,                0.25738,                0.95129,               0.000614,               0.000614,               0.000614
                     72,                0.53346,                0.30365,                0.99045,                0.99905,                      1,                  0.995,                0.89353,                0.57401,                0.25633,                0.95665,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.5441,                0.30752,                 1.0106,                0.99905,                      1,                  0.995,                0.90072,                0.56349,                0.24192,                0.94783,              0.0005744,              0.0005744,              0.0005744
                     74,                0.53374,                0.30338,                0.98818,                0.99906,                      1,                  0.995,                 0.8874,                0.56651,                0.24936,                0.94577,              0.0005546,              0.0005546,              0.0005546
                     75,                0.52111,                0.29734,                0.97199,                0.99905,                      1,                  0.995,                0.85926,                0.57853,                0.24748,                0.95227,              0.0005348,              0.0005348,              0.0005348
